Category	Term	Count	PValue	Genes	Fold_Enrichment	Benjamini	Cluster 
GOTERM_CC_DIRECT	GO:0005634~nucleus	153	2.63E-04	"MEF2C, AKNA, RBM3, HIRA, MMP2, SFSWAP, ZGPAT, BRPF1, HTRA2, WWP2, MED27, SMOX, CREB3L3, PTBP2, YARS, CHTF8, PTBP1, PIM1, MTA1, EEF2, OPTN, TATDN2, DDIT3, HNRNPU, ADRM1, PRCC, MED16, GTF2IRD1, EIF2S2, NLE1, CMIP, SURF2, DNTTIP2, AKAP8, MAD2L2, NEK6, ADD1, FUS, TNRC18, CRTC1, PABPC4, NTMT1, BOP1, RRAGD, RCC1, PUS7, VRK2, SMARCB1, METTL1, SUPV3L1, TCF3, ARHGDIA, DHX57, NOC4L, PTPN2, SMAD6, S100A11, KLF16, SKI, CSRP1, SMYD2, KAT5, FOXP4, HNRNPA1, HNRNPA0, ATF4, CBLB, ETS2, GLMP, CPNE2, TRIP6, CRYM, RITA1, GAR1, PPARG, DMAP1, CAMKK2, AKT1, PRMT1, HSF1, NSMCE1, TUBB6, SOX18, FAM129B, MYC, IMPDH2, KMT5A, CSDC2, PHC2, PSMD9, KHDRBS1, PPP2R1A, IRAK1, APCS, EXOSC9, SLC25A4, EXOSC4, SNUPN, UBE2I, CLIC1, CDK4, HMGA1, NOC2L, CCNL2, ZFAND2A, EIF4A1, NGFR, RUVBL1, ZFPM1, CTDP1, MATR3, TRIOBP, APEX2, TRIB3, EXOSC10, TNFRSF1B, CENPB, NELFCD, PLEKHO1, LSG1, MLLT1, AATF, NFATC4, CC2D1A, MLLT6, ETV5, PINX1, CEP131, CREB3, PPAN-P2RY11, TBX2, PTPA, ALYREF, TRIM28, STRADA, ILF3, POLR3C, SF3A2, UBE2Q1, SIRT2, NAE1, PWP1, FSD1, CYBA, PSMG2, RPS6KA4, UBTF, MAP1S, SFPQ, SVIL, SETD6, MEX3D, TBL1X"	1.28	1.54E-02	Winter_high
GOTERM_CC_DIRECT	GO:0000139~Golgi membrane	28	3.15E-04	"GNPTG, RAP1GAP, HLA-DRB1, CHPF2, CYTH3, CD74, GNPTAB, SLC35B2, RAB26, HLA-DPB1, IFNGR2, KDELR3, MGAT4B, STX6, SCAMP3, B4GALT2, CREB3, OPTN, LPCAT2, GLCE, NOTCH3, SLC35C1, COG7, BET1L, HLA-DPA1, PXYLP1, PMEPA1, CLCN5"	2.14	1.61E-02	Winter_high
GOTERM_CC_DIRECT	GO:0005730~nucleolus	36	3.53E-04	"APEX2, GAR1, RBM3, TRIB3, RPL36, BOP1, EXOSC10, EZR, SMARCB1, METTL1, DDX24, MED27, MLLT1, AATF, FAM129B, VMP1, MYC, PINX1, EXOSC9, NOC4L, PPAN-P2RY11, EXOSC4, PTBP1, ILF3, CDK4, KAT5, PWP1, NOC2L, COG7, UBTF, MAP1S, NLE1, SURF2, DNTTIP2, AKAP8, WDR43"	1.90	1.60E-02	Winter_high
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	32	6.69E-04	"MEF2C, RITA1, PPARG, TRIB3, DMAP1, ZGPAT, EZR, HSF1, WWP2, SOX18, CC2D1A, MYC, TCF3, KMT5A, PTPN2, TBX2, TRIM28, KLF16, UBE2I, SKI, SMYD2, KAT5, SIRT2, DDIT3, NOC2L, NOTCH3, SFPQ, ETS2, ZFPM1, MAD2L2, TBL1X, CRYM"	1.92	4.91E-01	Winter_high
GOTERM_MF_DIRECT	"GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding"	10	1.07E-03	"ZGPAT, HSF1, TBX2, ETS2, KLF16, NFATC4, SKI, CC2D1A, ZFPM1, TCF3"	3.90	1.54E-01	Winter_high
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	20	1.16E-03	"TRIOBP, ARHGEF7, FLOT2, HSPG2, ARF6, CSRP1, HMGA1, VASP, GAK, CD9, TNS3, CYBA, EZR, SVIL, PAK4, SLC4A2, AATF, MARCKS, TRIP6, ADD1"	2.31	4.66E-02	Winter_high
GOTERM_CC_DIRECT	GO:0030658~transport vesicle membrane	6	1.40E-03	"HLA-DRB1, SPRED2, HLA-DPA1, RAB26, HLA-DPB1, CD74"	7.14	5.13E-02	Winter_high
GOTERM_CC_DIRECT	GO:0045323~interleukin-1 receptor complex	3	1.43E-03	"IRAK1, TOLLIP, TRIP6"	45.22	4.81E-02	Winter_high
GOTERM_BP_DIRECT	GO:0006396~RNA processing	9	1.82E-03	"EXOSC10, SFSWAP, EXOSC9, RBM3, PABPC4, LSM7, SF3A1, HNRNPU, DHX57"	4.01	7.07E-01	Winter_high
GOTERM_CC_DIRECT	GO:0030669~clathrin-coated endocytic vesicle membrane	6	1.99E-03	"CD9, HLA-DRB1, HLA-DPA1, HLA-DPB1, CD74, AP2M1"	6.62	6.11E-02	Winter_high
GOTERM_BP_DIRECT	GO:0006397~mRNA processing	12	3.03E-03	"KHDRBS1, SFPQ, EFTUD2, PTBP1, PTBP2, SF3A2, FASTKD5, SF3B4, HNRNPA1, SF3A1, HNRNPA0, CSDC2"	2.89	7.84E-01	Winter_high
GOTERM_MF_DIRECT	GO:0003924~GTPase activity	14	3.15E-03	"RAP1GAP, ATL2, EFTUD2, GNA11, ARFRP1, EEF2, ARF6, RRAGD, MFN2, RAB32, LSG1, TUBB6, ARL8A, ARHGDIB"	2.59	3.26E-01	Winter_high
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	10	3.23E-03	"LSM14B, EIF4A3, EFTUD2, PABPC4, ILF3, EEF2, BOP1, HNRNPA1, HNRNPA0, HNRNPU"	3.33	9.09E-02	Winter_high
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	18	3.73E-03	"MEF2C, AKNA, CREB3, TBX2, SMAD6, KLF16, SKI, DDIT3, ZGPAT, ATF4, HSF1, SMARCB1, ETS2, NFATC4, SOX18, CC2D1A, TCF3, MYC"	2.19	3.23E-01	Winter_high
GOTERM_BP_DIRECT	GO:0045746~negative regulation of Notch signaling pathway	5	4.22E-03	"SLC35C1, RITA1, PEAR1, CHAC1, GDPD5"	7.44	8.19E-01	Winter_high
GOTERM_CC_DIRECT	GO:0071013~catalytic step 2 spliceosome	8	4.24E-03	"EIF4A3, EFTUD2, ALYREF, LSM7, SF3A2, HNRNPA1, SF3A1, HNRNPU"	3.93	1.10E-01	Winter_high
GOTERM_MF_DIRECT	GO:0003723~RNA binding	24	4.32E-03	"FUS, KHDRBS1, EXOSC9, PCID2, RBM3, PABPC4, RPUSD1, PTBP1, LSM7, ILF3, HNRNPA1, SF3A1, HNRNPA0, PUS7, HNRNPU, SFSWAP, EIF3B, EIF2S2, MEX3D, SUPV3L1, PTBP2, AKAP1, IMPDH2, CSDC2"	1.90	3.21E-01	Winter_high
GOTERM_BP_DIRECT	GO:0046208~spermine catabolic process	3	5.08E-03	"SAT1, SAT2, SMOX"	25.90	8.20E-01	Winter_high
GOTERM_BP_DIRECT	GO:1904385~cellular response to angiotensin	3	5.08E-03	"CYBA, HSF1, MYC"	25.90	8.20E-01	Winter_high
GOTERM_CC_DIRECT	GO:0090575~RNA polymerase II transcription factor complex	5	5.76E-03	"SFPQ, TRIM28, PPARG, HMGA1, TCF3"	6.85	1.38E-01	Winter_high
GOTERM_CC_DIRECT	GO:0042995~cell projection	7	6.21E-03	"EZR, MAP1S, FERMT3, WDR1, TRIP10, CAMKK2, SH3GL1"	4.22	1.40E-01	Winter_high
GOTERM_MF_DIRECT	GO:0008134~transcription factor binding	15	6.44E-03	"PPARG, PIM1, UBE2I, HMGA1, DDIT3, SIRT2, WWP2, UBA2, NFATC4, ZFPM1, TBL1X, MYC, TCF3, CSDC2, ADD1"	2.29	3.97E-01	Winter_high
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	23	6.49E-03	"MEF2C, CEP131, SCAMP3, APEX2, ALYREF, PPARG, SFXN4, MTA1, RANGAP1, CCNL2, GAK, PITPNM2, COG7, ZMIZ1, RBSN, NSMCE1, PLIN4, RUVBL1, TRIP10, PMEPA1, NEK6, CROT, PINX1"	1.86	1.38E-01	Winter_high
GOTERM_MF_DIRECT	GO:0017091~AU-rich element binding	4	6.49E-03	"EXOSC9, EXOSC4, MEX3D, HNRNPA0"	10.18	3.64E-01	Winter_high
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	15	6.98E-03	"MFN2, TRIOBP, TNFRSF1B, SCAMP3, TOLLIP, SMAD6, TRIM28, TRIB3, UBE2I, ERLIN1, RANGAP1, SKI, NGFR, STUB1, NAE1"	2.26	3.55E-01	Winter_high
GOTERM_BP_DIRECT	GO:0040008~regulation of growth	6	7.42E-03	"PPP2R1A, TGFBR2, SHC1, DMAP1, RUVBL1, KAT5"	4.89	8.83E-01	Winter_high
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	3	7.51E-03	"FLOT2, S100A10, RFTN1"	21.58	8.51E-01	Winter_high
GOTERM_MF_DIRECT	GO:0070491~repressing transcription factor binding	5	8.27E-03	"SKI, KAT5, TCF3, MYC, NOC2L"	6.18	3.77E-01	Winter_high
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	62	5.17E-19	"ALDH8A1, TM7SF2, SC5D, ALDH1L1, CYP2C18, HMGCR, HIBADH, GLDC, CYP3A43, CRYL1, MSRA, AKR7A3, SRD5A1, ASPH, SRD5A2, HPD, RNLS, CYP1A1, CYP1A2, CDO1, TECR, RDH5, ALDH7A1, G6PD, HSD11B1, CYP2A7, PRODH, HSD17B11, PHYHD1, SORD, HSD3B7, FDX1, AASS, PAH, KMO, PIPOX, SESN3, FMO5, ERO1B, FASN, HAAO, ALDH4A1, DMGDH, HSD17B7, CHDH, MSMO1, CYP2C9, PYROXD2, SCD, MAOA, MAOB, IDO2, HGD, CRYZ, MSRB2, IYD, RDH11, CYP7B1, AGMO, CYP8B1, MGST1, DCXR"	3.74	1.15E-15	Winter_low
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	38	1.41E-13	"ETNPPL, ACADSB, MCL1, FDX1, ETHE1, AASS, AGXT, HIBADH, ACSF2, GLDC, GLS2, IDH3G, IVD, NARS2, DMGDH, ALDH4A1, ACAD8, DHTKD1, FH, GCDH, SUOX, FECH, OTC, PDK4, DECR1, CPS1, LACTB2, SIRT3, DBT, ALDH7A1, HYKK, ALDH1B1, ABAT, PCCB, OAT, PCCA, PMPCB, PRODH"	4.32	4.50E-11	Winter_low
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	63	1.28E-12	"TM7SF2, SC5D, CYP2C18, SGPP1, HMGCR, LSS, CYP3A43, SLC35D1, BOK, INSIG1, ERAP2, SRD5A1, ELOVL6, SRD5A2, ASPH, PCYT2, SAR1B, HPD, SGPL1, STS, CYP1A1, VTI1B, CYP1A2, SIGMAR1, TECR, PNPLA3, RDH5, SCAP, G6PC, DGAT2, VAMP7, HSD11B1, CYP2A7, ARL6IP1, HSD3B7, SLC37A4, LMAN1, FMO5, ERO1B, TMEM33, CERS2, SERINC1, SEC22C, ACSL4, HSD17B7, ACSL5, MOGAT3, REEP6, RAB2B, EBP, MOGAT2, MSMO1, CYP2C9, SCD, TMBIM6, CYP4V2, CYP7B1, RDH11, SPCS3, AGMO, CYP8B1, MGST1, ABCC6"	2.72	1.36E-10	Winter_low
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	83	8.77E-13	"KYNU, ALDH1L1, TRMT2B, PINK1, ECHDC2, NIPSNAP3B, ECHDC3, FOXO3, PTEN, HIBADH, GLDC, MTFR1, MSRA, STARD4, IDH3G, DYNLL2, BOK, NARS2, CAT, ACAD8, DHTKD1, RMND1, SUOX, FECH, CYP1A1, ACO1, OTC, DECR1, SYNJ2BP, TAT, COQ5, DDIT4, ATP6V1A, ALDH7A1, SLC25A32, DGAT2, ALDH1B1, CLIC4, SDS, ABAT, PCCB, OAT, MTFMT, MDH1, PRODH, MAVS, ACADSB, MCL1, FDX1, UNG, ETHE1, AASS, COMT, GLS2, KRAS, IVD, PPL, FASN, RAB11A, IDH1, ALDH4A1, ACSL5, FH, GCDH, SHMT1, MAOA, RMDN3, AMACR, PDK4, MAOB, ACACA, ACACB, PHYH, LACTB2, MSRB2, SIRT3, SH3BP5, DBT, ATP6V1E1, PON2, RIDA, SCP2, MGST1"	2.32	1.40E-10	Winter_low
GOTERM_MF_DIRECT	GO:0030170~pyridoxal phosphate binding	17	2.05E-12	"ETNPPL, SHMT1, SGPL1, DDC, KYNU, ACCS, AGXT, TAT, GLDC, CTH, SDS, SRR, KYAT1, ABAT, GPT, THNSL2, OAT"	10.69	1.76E-09	Winter_low
GOTERM_CC_DIRECT	GO:0005777~peroxisome	20	3.60E-11	"HACL1, AMACR, TKT, AKAP11, PEX3, ISOC1, AGXT, PHYH, PIPOX, HAO1, BAAT, NUDT7, IDH1, PEX13, CAT, URAD, ACAD11, IDI1, RIDA, SCP2"	7.15	2.88E-09	Winter_low
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	57	1.82E-10	"TM7SF2, HMGCR, CPEB4, PEX3, BOK, APOE, AQP11, INSIG1, B3GALNT2, ERAP2, CAT, ASPH, ELOVL6, SAR1B, ZFYVE1, SGPL1, STS, ACO1, HLA-A, SIGMAR1, METTL7A, TECR, SCAP, NPC1, NPC2, DGAT2, ASS1, SLC38A9, SLC37A4, EDEM2, CPED1, TMEM50B, FMO5, ERO1B, CERS2, SLC30A1, TMEM33, PCSK9, SEC22C, PCSK6, HSD17B7, TMEM30A, ACSL5, EBP, MOGAT2, MSMO1, YIPF6, HTT, SCD, TMBIM6, DBI, MTTP, CIDEC, CNIH4, SPCS3, AGMO, MGST1"	2.56	1.16E-08	Winter_low
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	27	6.36E-11	"SC5D, SORD, ALDH1L1, AASS, PIPOX, SESN3, ERO1B, FASN, DMGDH, ALDH4A1, SUOX, RNLS, MSMO1, CYP1A1, PYROXD2, CYP2C9, SCD, MAOA, MAOB, CYP1A2, CRYZ, TECR, IYD, ALDH7A1, ALDH1B1, HSD11B1, DCXR"	4.84	2.73E-08	Winter_low
