pathway,GO
G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY,GO:0035588
MEMBRANE_DEPOLARIZATION,GO:0051899
OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION,GO:0021889
ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:0008608
REGULATION_OF_LYASE_ACTIVITY,GO:0051339
RESPONSE_TO_NITROGEN_COMPOUND,GO:1901698
NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,GO:0034763
REGULATION_OF_DNA_RECOMBINATION,GO:0000018
REGULATION_OF_LEUKOCYTE_PROLIFERATION,GO:0070663
RESPONSE_TO_ETHANOL,GO:0045471
SULFUR_COMPOUND_METABOLIC_PROCESS,GO:0006790
REGULATION_OF_CELL_CYCLE_CHECKPOINT,GO:1901976
NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING,GO:2000678
POSITIVE_REGULATION_OF_DNA_REPLICATION,GO:0045740
NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS,GO:0043524
POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,GO:2000243
POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT,GO:0072216
POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS,GO:0070230
NUCLEOTIDE_PHOSPHORYLATION,GO:0046939
POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,GO:0045815
GLUTAMATE_SECRETION,GO:0014047
POSITIVE_REGULATION_OF_PROTEIN_BINDING,GO:0032092
REGULATION_OF_VASCULOGENESIS,GO:2001212
LENS_FIBER_CELL_DIFFERENTIATION,GO:0070306
SENSORY_PERCEPTION,GO:0007600
HEPATICOBILIARY_SYSTEM_DEVELOPMENT,GO:0061008
FATTY_ACID_CATABOLIC_PROCESS,GO:0009062
REGULATION_OF_VESICLE_FUSION,GO:0031338
REGULATION_OF_LIPID_STORAGE,GO:0010883
CARBOHYDRATE_TRANSPORT,GO:0008643
REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,GO:0090287
EMBRYONIC_HEMOPOIESIS,GO:0035162
EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING,GO:0009792
ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,GO:0002504
RESPONSE_TO_IONIZING_RADIATION,GO:0010212
EPITHELIUM_DEVELOPMENT,GO:0060429
POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION,GO:0051284
SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS,GO:0044550
CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT,GO:0060973
PROTEIN_LOCALIZATION_TO_CYTOSKELETON,GO:0044380
NUCLEAR_ENVELOPE_REASSEMBLY,GO:0031468
INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,GO:0042771
REGULATION_OF_AUTOPHAGY,GO:0010506
PHOSPHOLIPID_METABOLIC_PROCESS,GO:0006644
AMMONIUM_ION_METABOLIC_PROCESS,GO:0097164
REGULATION_OF_INTERLEUKIN_4_PRODUCTION,GO:0032673
NCRNA_CATABOLIC_PROCESS,GO:0034661
REGULATION_OF_FAT_CELL_DIFFERENTIATION,GO:0045598
GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS,GO:0009084
BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION,GO:0086069
REGULATION_OF_CELL_MATURATION,GO:1903429
NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,GO:0010721
MAMMARY_GLAND_MORPHOGENESIS,GO:0060443
CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY,GO:0043624
URETER_DEVELOPMENT,GO:0072189
BODY_MORPHOGENESIS,GO:0010171
SOMATIC_STEM_CELL_POPULATION_MAINTENANCE,GO:0035019
CYTOPLASMIC_MICROTUBULE_ORGANIZATION,GO:0031122
POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,GO:0043517
PROTEIN_ACTIVATION_CASCADE,GO:0072376
POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,GO:0010518
NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION,GO:0050732
REGULATION_OF_COLLATERAL_SPROUTING,GO:0048670
ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY,GO:0061339
NEURON_RECOGNITION,GO:0008038
NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,GO:0009132
MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION,GO:0031109
RESPONSE_TO_AMMONIUM_ION,GO:0060359
NEGATIVE_REGULATION_OF_PROTEOLYSIS,GO:0045861
PINOCYTOSIS,GO:0006907
REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS,GO:1904035
PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,GO:0046470
LUNG_EPITHELIUM_DEVELOPMENT,GO:0060428
METENCEPHALON_DEVELOPMENT,GO:0022037
G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY,GO:0035589
ACTIN_FILAMENT_BUNDLE_ORGANIZATION,GO:0061572
CELLULAR_RESPONSE_TO_VIRUS,GO:0098586
CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY,GO:0033962
RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM,GO:0007585
NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,GO:1903321
AMINO_ACID_ACTIVATION,GO:0043038
DENDRITIC_CELL_DIFFERENTIATION,GO:0097028
NATURAL_KILLER_CELL_DIFFERENTIATION,GO:0001779
BONE_TRABECULA_MORPHOGENESIS,GO:0061430
REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GO:0002861
REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,GO:0032434
NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION,GO:0045665
REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,GO:0048641
MUSCLE_TISSUE_DEVELOPMENT,GO:0060537
NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,GO:0031953
ACID_SECRETION,GO:0046717
POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,GO:0002821
REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GO:0045670
REGULATION_OF_PROTEIN_BINDING,GO:0043393
CARDIAC_SEPTUM_DEVELOPMENT,GO:0003279
REGULATION_OF_ICOSANOID_SECRETION,GO:0032303
L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,GO:1902475
REGULATION_OF_HISTONE_METHYLATION,GO:0031060
POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION,GO:0090141
ANTIMICROBIAL_HUMORAL_RESPONSE,GO:0019730
EPIDERMIS_MORPHOGENESIS,GO:0048730
INTERMEDIATE_FILAMENT_BASED_PROCESS,GO:0045103
COGNITION,GO:0050890
RESPONSE_TO_ZINC_ION,GO:0010043
AXIS_SPECIFICATION,GO:0009798
PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,GO:0046488
CELL_PART_MORPHOGENESIS,GO:0032990
PIGMENT_GRANULE_LOCALIZATION,GO:0051875
VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY,GO:0038084
RESPONSE_TO_ORGANOPHOSPHORUS,GO:0046683
AXO_DENDRITIC_TRANSPORT,GO:0008088
SKELETAL_MUSCLE_TISSUE_REGENERATION,GO:0043403
POLYSACCHARIDE_BIOSYNTHETIC_PROCESS,GO:0000271
GLAND_MORPHOGENESIS,GO:0022612
NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,GO:0002820
REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN,GO:0001991
RIBOSOME_BIOGENESIS,GO:0042254
B_CELL_HOMEOSTASIS,GO:0001782
IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,GO:0036498
POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,GO:0045956
POSITIVE_REGULATION_OF_ENDOCYTOSIS,GO:0045807
MRNA_SPLICE_SITE_SELECTION,GO:0006376
REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS,GO:0043555
PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GO:0046189
POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,GO:0045648
DENDRITIC_CELL_MIGRATION,GO:0036336
SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS,GO:0050951
LYSOSOMAL_TRANSPORT,GO:0007041
POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GO:2000573
POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION,GO:0043032
REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,GO:0050848
REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,GO:0046634
MUSCLE_ORGAN_DEVELOPMENT,GO:0007517
POSITIVE_REGULATION_OF_HEMOPOIESIS,GO:1903708
OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS,GO:0003148
REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION,GO:0033599
MYELOID_CELL_HOMEOSTASIS,GO:0002262
REGULATION_OF_BLOOD_PRESSURE,GO:0008217
REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,GO:0060688
RESPONSE_TO_ELECTRICAL_STIMULUS,GO:0051602
NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,GO:0032211
REGULATION_OF_T_CELL_CHEMOTAXIS,GO:0010819
REGULATION_OF_ERBB_SIGNALING_PATHWAY,GO:1901184
VENTRICULAR_SEPTUM_MORPHOGENESIS,GO:0060412
POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS,GO:2001028
POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION,GO:0045603
NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,GO:0048662
TOLERANCE_INDUCTION,GO:0002507
CHEMICAL_HOMEOSTASIS,GO:0048878
SYNAPSE_ORGANIZATION,GO:0050808
METANEPHROS_DEVELOPMENT,GO:0001656
REGULATION_OF_MICROTUBULE_BASED_PROCESS,GO:0032886
NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY,GO:0032410
ENDOSOME_ORGANIZATION,GO:0007032
REGULATION_OF_WOUND_HEALING,GO:0061041
REGULATION_OF_MAPK_CASCADE,GO:0043408
POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,GO:0048643
MYELOID_LEUKOCYTE_MIGRATION,GO:0097529
COLLAGEN_FIBRIL_ORGANIZATION,GO:0030199
POSITIVE_REGULATION_OF_NEURON_DEATH,GO:1901216
RESPONSE_TO_ESTRADIOL,GO:0032355
CORONARY_VASCULATURE_DEVELOPMENT,GO:0060976
CARTILAGE_DEVELOPMENT,GO:0051216
NEURON_PROJECTION_EXTENSION,GO:1990138
REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,GO:0055024
PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS,GO:0006221
RESPONSE_TO_MUSCLE_STRETCH,GO:0035994
NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,GO:0048715
REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,GO:0014066
RESPONSE_TO_COLD,GO:0009409
NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,GO:0010766
CIRCULATORY_SYSTEM_PROCESS,GO:0003013
REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS,GO:0090207
NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS,GO:0010561
RESPONSE_TO_COCAINE,GO:0042220
CELL_CHEMOTAXIS,GO:0060326
NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,GO:1902254
RIBONUCLEOTIDE_CATABOLIC_PROCESS,GO:0009261
POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION,GO:1901970
DNA_TEMPLATED_TRANSCRIPTION_TERMINATION,GO:0006353
NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GO:0032692
POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY,GO:2001259
REGULATION_OF_PROSTAGLANDIN_SECRETION,GO:0032306
REGULATION_OF_PODOSOME_ASSEMBLY,GO:0071801
CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS,GO:0003214
NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION,GO:0051154
RESPONSE_TO_AMINE,GO:0014075
REGULATION_OF_ORGANIC_ACID_TRANSPORT,GO:0032890
REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION,GO:0090329
PROTEIN_HOMOTETRAMERIZATION,GO:0051289
HEART_TRABECULA_MORPHOGENESIS,GO:0061384
RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY,GO:0008535
VESICLE_LOCALIZATION,GO:0051648
POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,GO:2000108
POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT,GO:0010455
FOREBRAIN_MORPHOGENESIS,GO:0048853
TELOMERE_CAPPING,GO:0016233
PROSTATE_GLAND_MORPHOGENESIS,GO:0060512
NEGATIVE_REGULATION_OF_AXON_EXTENSION,GO:0030517
POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION,GO:0032481
REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,GO:0070302
MYELOID_CELL_DEVELOPMENT,GO:0061515
NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,GO:0033673
REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS,GO:1902108
INTRACELLULAR_PROTEIN_TRANSPORT,GO:0006886
REGULATION_OF_HISTONE_DEACETYLATION,GO:0031063
REGULATION_OF_PHOSPHATASE_ACTIVITY,GO:0010921
NEUROTRANSMITTER_UPTAKE,GO:0001504
MICROTUBULE_ANCHORING,GO:0034453
CELL_DIVISION,GO:0051301
REGULATION_OF_MRNA_CATABOLIC_PROCESS,GO:0061013
INTERMEDIATE_FILAMENT_ORGANIZATION,GO:0045109
NEGATIVE_REGULATION_OF_CELL_DIVISION,GO:0051782
CELLULAR_RESPONSE_TO_UV,GO:0034644
REGULATION_OF_NUCLEAR_DIVISION,GO:0051783
RESPONSE_TO_ACID_CHEMICAL,GO:0001101
RESPONSE_TO_PROSTAGLANDIN_E,GO:0034695
POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,GO:0010718
RESPONSE_TO_STEROID_HORMONE,GO:0048545
POSITIVE_REGULATION_OF_RNA_SPLICING,GO:0033120
RESPONSE_TO_IMMOBILIZATION_STRESS,GO:0035902
RESPONSE_TO_INTERLEUKIN_4,GO:0070670
POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION,GO:0045618
CARDIAC_CHAMBER_MORPHOGENESIS,GO:0003206
REGULATION_OF_CARTILAGE_DEVELOPMENT,GO:0061035
POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,GO:0032757
REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,GO:0050688
RESPONSE_TO_PEPTIDE,GO:1901652
DNA_DEPENDENT_DNA_REPLICATION,GO:0006261
REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION,GO:2001014
POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS,GO:1903364
STEROL_HOMEOSTASIS,GO:0055092
EMBRYONIC_AXIS_SPECIFICATION,GO:0000578
REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS,GO:2000106
CELLULAR_RESPONSE_TO_LIPID,GO:0071396
LIPOPROTEIN_METABOLIC_PROCESS,GO:0042157
DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION,GO:0051818
IRON_COORDINATION_ENTITY_TRANSPORT,GO:1901678
PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS,GO:0006656
REGULATION_OF_COAGULATION,GO:0050818
MEMBRANE_BIOGENESIS,GO:0044091
REGULATION_OF_EPIDERMIS_DEVELOPMENT,GO:0045682
FORMATION_OF_PRIMARY_GERM_LAYER,GO:0001704
NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,GO:0051148
ENERGY_RESERVE_METABOLIC_PROCESS,GO:0006112
GLYCOLIPID_BIOSYNTHETIC_PROCESS,GO:0009247
REGULATION_OF_ACTIN_NUCLEATION,GO:0051125
REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,GO:2001198
EPITHELIAL_CELL_DEVELOPMENT,GO:0002064
NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,GO:0045833
PROTEIN_LOCALIZATION_TO_KINETOCHORE,GO:0034501
NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,GO:0045599
PHOTOPERIODISM,GO:0009648
ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,GO:1901607
MESENCHYMAL_TO_EPITHELIAL_TRANSITION,GO:0060231
ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER,GO:0090557
SALIVARY_GLAND_DEVELOPMENT,GO:0007431
CELL_CYCLE_DNA_REPLICATION,GO:0044786
CHROMOSOME_CONDENSATION,GO:0030261
REGULATION_OF_MONOOXYGENASE_ACTIVITY,GO:0032768
SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,GO:0050954
ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,GO:0090162
TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY,GO:0034162
EMBRYONIC_DIGIT_MORPHOGENESIS,GO:0042733
T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0002286
NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GO:0070664
NEGATIVE_REGULATION_OF_GLIOGENESIS,GO:0014014
REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,GO:0002583
REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,GO:0048168
REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY,GO:1900274
REGULATION_OF_DEVELOPMENTAL_GROWTH,GO:0048638
MEMBRANE_DISASSEMBLY,GO:0030397
REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,GO:0051966
ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY,GO:0007202
CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,GO:0071496
NADP_METABOLIC_PROCESS,GO:0006739
POSITIVE_REGULATION_OF_MRNA_PROCESSING,GO:0050685
EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS,GO:0060441
DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION,GO:0050974
REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN,GO:2000047
METANEPHRIC_EPITHELIUM_DEVELOPMENT,GO:0072207
REGULATION_OF_SMOOTH_MUSCLE_CELL_DIFFERENTIATION,GO:0051150
FATTY_ACID_BETA_OXIDATION,GO:0006635
ACTIN_FILAMENT_BASED_PROCESS,GO:0030029
RESPONSE_TO_FLUID_SHEAR_STRESS,GO:0034405
NEGATIVE_REGULATION_OF_MUSCLE_CONTRACTION,GO:0045932
TRANSITION_METAL_ION_TRANSPORT,GO:0000041
POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION,GO:0051149
REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,GO:0002819
PHOSPHATIDYLINOSITOL_BIOSYNTHETIC_PROCESS,GO:0006661
POSITIVE_REGULATION_OF_LIPID_KINASE_ACTIVITY,GO:0090218
RESPONSE_TO_CORTICOSTEROID,GO:0031960
POSITIVE_REGULATION_OF_LEUKOCYTE_DEGRANULATION,GO:0043302
SODIUM_ION_TRANSMEMBRANE_TRANSPORT,GO:0035725
NEGATIVE_REGULATION_OF_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,GO:0043537
CELL_PROJECTION_ASSEMBLY,GO:0030031
GLUCOCORTICOID_METABOLIC_PROCESS,GO:0008211
PROTEIN_MATURATION,GO:0051604
SKELETAL_MUSCLE_ADAPTATION,GO:0043501
PROTEIN_N_LINKED_GLYCOSYLATION,GO:0006487
ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,GO:0031145
HINDLIMB_MORPHOGENESIS,GO:0035137
LOOP_OF_HENLE_DEVELOPMENT,GO:0072070
VESICLE_ORGANIZATION,GO:0016050
